block_timestamp	variable	value
200601	spam	59
200602	spam	54
200603	spam	53
200604	spam	49
200605	spam	87
200606	spam	133
200607	spam	123
200608	spam	128
200609	spam	196
200610	spam	219
200611	spam	358
200612	spam	225
200701	spam	258
200702	spam	298
200703	spam	353
200704	spam	302
200705	spam	253
200706	spam	236
200707	spam	313
200708	spam	371
200709	spam	333
200710	spam	337
200711	spam	294
200712	spam	244
200801	spam	319
200802	spam	354
200803	spam	406
200804	spam	443
200805	spam	573
200806	spam	544
200807	spam	655
200808	spam	607
200809	spam	667
200810	spam	759
200811	spam	546
200812	spam	643
200901	spam	935
200902	spam	964
200903	spam	930
200904	spam	1139
200905	spam	1081
200906	spam	2133
200907	spam	1571
200908	spam	1296
200909	spam	1002
200910	spam	790
200911	spam	648
200912	spam	992
201001	spam	877
201002	spam	777
201003	spam	961
201004	spam	1242
201005	spam	1288
201006	spam	1494
201007	spam	1058
201008	spam	948
201009	spam	1039
201010	spam	1085
201011	spam	1343
201012	spam	1358
201101	spam	1342
201102	spam	1136
201103	spam	1228
201104	spam	880
201105	spam	860
201106	spam	1132
201107	spam	1127
201108	spam	1518
201109	spam	1217
201110	spam	1380
201111	spam	1229
201112	spam	1337
201201	spam	1286
201202	spam	1303
201203	spam	1238
201204	spam	1114
201205	spam	1669
201206	spam	1318
201207	spam	1509
201208	spam	1270
201209	spam	1524
201210	spam	1895
201211	spam	1262
201212	spam	1338
200601	bad.faith	1585
200602	bad.faith	1827
200603	bad.faith	2329
200604	bad.faith	1921
200605	bad.faith	2448
200606	bad.faith	1866
200607	bad.faith	1876
200608	bad.faith	2103
200609	bad.faith	2360
200610	bad.faith	3051
200611	bad.faith	3398
200612	bad.faith	3098
200701	bad.faith	3664
200702	bad.faith	3833
200703	bad.faith	4443
200704	bad.faith	4276
200705	bad.faith	4214
200706	bad.faith	3248
200707	bad.faith	2606
200708	bad.faith	2662
200709	bad.faith	3089
200710	bad.faith	3766
200711	bad.faith	3621
200712	bad.faith	2700
200801	bad.faith	3137
